Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Código;Nº Cámara;Cámara;LONGITUD;LATITUD;NOMBRE
441093,6557;4474513,076;;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;51; Salida;63.4 s;81;-3.694357;40.4191607;ALCALA, CALLE, DE, 51
441254,0723;4474881,909;43434;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;29; Salida;64 s;82;-3.6925003;40.4224946;ALMIRANTE, CALLE, DEL, 29
441273,9612;4474977,798;43434;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;14; Salida;65 s;83;-3.6922747;40.4233599;BARBARA DE BRAGANZA, CALLE, DE, 14
441160,5307;4475292,701;43434;01  CENTRO;01-04 JUSTICIA;GENERAL CASTAÑOS, CALLE, DEL;15; Salida;66 s;84;-3.6936409;40.4261886;GENERAL CASTAÑOS, CALLE, DEL, 15
441036,5052;4475365,402;43441;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;17; Salida;67 s;85;-3.6951096;40.4268348;CAMPOAMOR, CALLE, DE, 17
440937,2946;4475407,409;43434;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3; Salida;68.1 s;86;-3.6962831;40.4272062;SANTA BARBARA, PLAZA, DE, 3
440934,4057;4475409,187;43434;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3; Salida;68.2 s;87;-3.6963172;40.427222;SANTA BARBARA, PLAZA, DE, 3
440852,8501;4475450,021;43434;01  CENTRO;01-04 JUSTICIA;HERMANOS ALVAREZ QUINTERO, CALLE, DE LOS;6; Salida;69 s;88;-3.6972824;40.427584;HERMANOS ALVAREZ QUINTERO, CALLE, DE LOS, 6
440682,8501;4475498,354;43434;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;21; Salida;70.1 s;89;-3.6992909;40.4280073;MEJIA LEQUERICA, CALLE, DE, 21
440679,739;4475498,576;43438;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;21; Salida;70.2 s;90;-3.6993276;40.4280091;MEJIA LEQUERICA, CALLE, DE, 21
440511,6557;4475548,826;43439;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;25; Salida;71 s;91;-3.7013137;40.4284498;CHURRUCA, CALLE, DE, 25
440423,5723;4475563,826;43434;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;1; Salida;72 s;92;-3.7023535;40.4285786;MANUELA MALASAÑA, CALLE, DE, 1
440346,3223;4475604,326;43434;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;44; Salida;73 s;93;-3.703268;40.4289379;SAN ANDRES, CALLE, DE, 44
440214,489;4475620,409;43434;01  CENTRO;01-05 UNIVERSIDAD;MONTELEON, CALLE, DE;19; Salida;74 s;94;-3.7048235;40.4290733;MONTELEON, CALLE, DE, 19
440115,0723;4475593,076;;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;88; Salida;75.1 s;95;-3.7059929;40.42882;SAN BERNARDO, CALLE, DE, 88
440112,239;4475593,659;43434;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;88; Salida;75.2 s;96;-3.7060264;40.428825;SAN BERNARDO, CALLE, DE, 88
439848,239;4475647,743;43434;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;44; Salida;76 s;97;-3.7091436;40.4292931;CONDE DUQUE, CALLE, DEL, 44
439557,8223;4475644,243;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9; Salida;77.1 s;98;-3.7125668;40.4292405;MARTIRES DE ALCALA, CALLE, DE LOS, 9
439555,0723;4475645,826;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9; Salida;77.2 s;99;-3.7125994;40.4292547;MARTIRES DE ALCALA, CALLE, DE LOS, 9
439552,5723;4475647,076;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9; Salida;77.3 s;100;-3.712629;40.4292657;MARTIRES DE ALCALA, CALLE, DE LOS, 9
439551,5307;4475314,951;43434;01  CENTRO;01-05 UNIVERSIDAD;DUQUE DE LIRIA, CALLE, DEL;6; Salida;78 s;101;-3.7126097;40.4262737;DUQUE DE LIRIA, CALLE, DEL, 6
439675,6557;4475141,701;43434;01  CENTRO;01-05 UNIVERSIDAD;SAN LEONARDO, CALLE, DE;10; Salida;79 s;102;-3.71113;40.424722;SAN LEONARDO, CALLE, DE, 10
439746,739;4474958,493;43437;01  CENTRO;01-05 UNIVERSIDAD;GRAN VIA, CALLE;76; Salida;80.1 s;103;-3.7102748;40.4230767;GRAN VIA, CALLE, 76
439745,0723;4474955,826;43434;01  CENTRO;01-05 UNIVERSIDAD;GRAN VIA, CALLE;76; Salida;80.2 s;104;-3.7102942;40.4230526;GRAN VIA, CALLE, 76
439562,739;4474573,826;43434;01  CENTRO;01-01 PALACIO;SAN QUINTIN, CALLE, DE;6; Salida;81 s;105;-3.7124071;40.4195982;SAN QUINTIN, CALLE, DE, 6
439523,5307;4474299,326;43434;01  CENTRO;01-01 PALACIO;REQUENA, CALLE, DE;7; Salida;82 s;106;-3.7128432;40.4171225;REQUENA, CALLE, DE, 7
439515,7807;4474081,576;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;86; Salida;83.1 s;107;-3.7129138;40.4151604;MAYOR, CALLE, 86
439516,4057;4474078,576;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;86; Salida;83.2 s;108;-3.7129061;40.4151334;MAYOR, CALLE, 86
439248,989;4473949,743;43439;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;37; Salida;84 s;109;-3.7160456;40.4139532;SEGOVIA, CALLE, DE, 37
439471,1557;4473850,826;43434;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;11; Salida;85 s;110;-3.7134177;40.4130784;MORERIA, CALLE, DE LA, 11
439403,4057;4473718,409;43434;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;18; Salida;86 s;111;-3.7142036;40.4118806;DON PEDRO, CALLE, DE, 18
439405,1557;4473641,076;43434;01  CENTRO;01-01 PALACIO;VISTILLAS, TRAVESIA, DE LAS;2; Salida;87 s;112;-3.7141756;40.4111841;VISTILLAS, TRAVESIA, DE LAS, 2
439466,8223;4473592,576;43434;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;16; Salida;88 s;113;-3.7134443;40.4107517;SAN FRANCISCO, CARRERA, DE, 16
439428,489;4473411,909;43434;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;13; Salida;89 s;114;-3.7138788;40.4091213;SAN BERNABE, CALLE, DE, 13
439537,4057;4473343,951;43434;01  CENTRO;01-01 PALACIO;ISABEL TINTERO, CALLE, DE;2; Salida;90 s;115;-3.7125888;40.408517;ISABEL TINTERO, CALLE, DE, 2
